year,month,tmean
1828,Jan,-1.3371058702468872
1828,Feb,0.5025536417961121
1828,Mar,0.8825964331626892
1828,Apr,1.9280136823654175
1828,May,0.7491811513900757
1828,Jun,0.9251384735107422
1828,Jul,0.31876376271247864
1828,Aug,-1.156613826751709
1828,Sep,-2.757168769836426
1828,Oct,-1.1279083490371704
1828,Nov,-0.8710500001907349
1828,Dec,-1.8808728456497192
1829,Jan,-0.12704811990261078
1829,Feb,0.884779691696167
1829,Mar,1.0607008934020996
1829,Apr,-0.3055727779865265
1829,May,1.1361676454544067
1829,Jun,0.2986676096916199
1829,Jul,0.11708474904298782
1829,Aug,-0.34315067529678345
1829,Oct,-0.5269304513931274
1829,Nov,-1.5402727127075195
1829,Dec,-2.0603201389312744
1832,Jan,0.6024182438850403
1832,Feb,-0.42369508743286133
1832,Mar,0.06646565347909927
1832,Apr,-0.7719684839248657
1832,May,-0.13111163675785065
1832,Oct,-1.2669073343276978
1832,Nov,-0.8740558624267578
1832,Dec,-1.3127175569534302
1833,Jan,1.0392838716506958
1833,Feb,0.6254154443740845
1833,Mar,0.5514202117919922
1833,Apr,-0.05814460664987564
1833,May,-0.39268994331359863
1833,Jun,0.00840788148343563
1833,Jul,-0.9578896164894104
1833,Aug,-0.3095441460609436
1833,Sep,-0.4893268346786499
1833,Oct,-0.7696589827537537
1833,Nov,0.9104635119438171
1833,Dec,-0.3309016227722168
1834,Jan,-1.582358479499817
1834,Feb,0.5849283933639526
1834,Mar,0.9954020977020264
1834,Apr,-0.09496623277664185
1834,May,-0.18205732107162476
1834,Jun,-0.39750880002975464
1834,Jul,-1.318241834640503
1834,Aug,-1.3906248807907104
1834,Sep,-1.0815043449401855
1834,Oct,-0.6197811365127563
1834,Nov,0.7904612421989441
1834,Dec,0.1968168318271637
1835,Jan,1.4894369840621948
1835,Feb,1.174740195274353
1835,Mar,0.195792093873024
1835,Apr,-0.1752682626247406
1835,May,-0.8820743560791016
1835,Jun,-1.1805636882781982
1835,Jul,-2.1359169483184814
1835,Sep,-1.8089500665664673
